productId,name,bias,isFavorite,purchasedBefore,timesPurchased,recentlyPurchased,storeCount,timesWasRejectedByUser,timesWasRejectedByCart,label
67fe09fe9694fc7dde083a10,"ניירות להסרת שיער בשעווה, 50 יחידות",1,0,1,11,0,8,0,0,0
67fe00709694fc7dde0826b4,"לחם שיפון עגול, 750 גרם",1,0,0,0,0,14,0,0,1
67fe018b9694fc7dde0828c5,"מלח ים דק, 250 גרם",1,0,0,0,0,18,0,0,0
67fe044c9694fc7dde082d9b,"פיתות כוסמין מלא, שמיניה 8 * 8 יחידות",1,0,1,1,0,11,0,0,0
67fe0a159694fc7dde083a7e,"משחת שיניים אקסטרה פרש, 75 מ""ל",1,0,1,13,0,11,0,0,0
67fe06569694fc7dde0831c0,"ממרח עוגיות לוטוס קרמל, 400 גרם",1,0,1,10,0,18,0,0,0
67fe012e9694fc7dde0827ea,"אורז פרסי קלאסי, 1 ק""ג",1,0,1,14,0,23,0,0,1
67fe04319694fc7dde082d40,"שיבולת שועל פתיתים שלמים, 600 גרם",1,0,1,13,0,3,0,0,0
67fe09a09694fc7dde083878,"חלה מעודנת פרוסה, 500 גרם",1,0,1,1,0,3,0,0,0
67fe08829694fc7dde08352b,"תחבושות עם ניחוח לונג, 24 יחידות",1,0,1,12,0,13,0,0,0
67fe05bb9694fc7dde08304d,"בירה היינקן לאגר פחית, 500 מ""ל",1,0,1,1,0,16,0,0,0
67fe08a89694fc7dde08356d,"מילוי למכשיר אוטומטי בניחוח יערות גשם, 228 מ""ל",1,0,1,13,0,31,0,0,0
67fe08579694fc7dde0834e8,"נרות ריחניים משובחים בניחוח וניל, 50 יחידות",1,0,1,10,0,2,0,0,0
67fe03919694fc7dde082c40,"דבש טהור מפרחי בר, 350 גרם",1,0,1,10,0,16,0,0,0
67fe09d99694fc7dde083971,"ענב אדום, 500 גרם",1,0,1,15,0,20,0,0,0
67fe02d39694fc7dde082b01,"ביסלי ברביקיו במבה מיקס, 70 גרם",1,0,1,11,0,12,0,0,0
