productId,name,bias,isFavorite,purchasedBefore,timesPurchased,recentlyPurchased,storeCount,timesWasRejectedByUser,timesWasRejectedByCart,label
67fe00f79694fc7dde08279c,"סוכריות מאסט ללא סוכר מנטה, 80 גרם",1,0,0,0,0,17,0,0,0
67fe05339694fc7dde082f98,"מגבונים בייביסיטר פרפורמנס ללא בישום, רביעיה 4 * 72 יחידות",1,0,0,0,0,19,0,0,0
67fe08829694fc7dde08353b,"תחבושות נורמל פלוס עם כנפיים, 28 יחידות",1,0,0,0,0,17,0,0,0
67fe09e29694fc7dde083988,"יין כרמל באז מוסקטו מבעבע, 750 מ""ל",1,0,0,0,0,12,0,0,0
67fae4939185ef5995418aa1,"קורנפלקס שופרסל, 750 גרם",1,0,0,0,0,2,0,0,0
67fcd13ea94f1553e3728a8f,"שקדי מרק, 400 גרם",1,0,0,0,0,20,0,0,0
67fe008b9694fc7dde0826e8,"קוטג' 5%, 250 גרם",1,0,0,0,0,21,0,0,1
67fe01b39694fc7dde08290b,"פיניש פאוור לניקוי והברקה יום יומי, 40 יחידות",1,0,0,0,0,20,0,0,0
67fe02d39694fc7dde082b09,"ביסלי בצל, 70 גרם",1,0,0,0,0,17,0,0,0
67fe03889694fc7dde082c13,"שוקולד מריר מעולה, רביעיה 4 * 100 גרם",1,0,0,0,0,16,0,0,1
67fe04ab9694fc7dde082e44,"ריבה מעורבת, 820 גרם",1,0,0,0,0,1,0,0,0
67fe05339694fc7dde082f94,"מגבוני טישו קלאסיק, שלישיה ",1,0,0,0,0,18,0,0,0
67fe06089694fc7dde0830de,"אגוזי פקאן מסוכרים, 150 גרם",1,0,0,0,0,5,0,0,0
67fe08149694fc7dde08349b,סיגריות מרלבורו טאץ',1,0,0,0,0,9,0,0,0
67fe09439694fc7dde0836f3,"פטרוזיליה, 25 גרם",1,0,0,0,0,3,0,0,0
67fe09509694fc7dde083733,"בשר בקר טחון גלאט עוף, 500 גרם",1,0,0,0,0,2,0,0,0
67fe09589694fc7dde08374a,"קציצה בטעם מרוקאי תומס, 500 גרם",1,0,0,0,0,3,0,0,0
67fe09af9694fc7dde0838a2,"טחינה ירושלים, 500 גרם",1,0,0,0,0,12,0,0,1
67fe09b79694fc7dde0838cb,"כמון טחון, 120 גרם",1,0,0,0,0,2,0,0,0
67fe09cf9694fc7dde08393d,"מיונז אמיתי, 394 גרם",1,0,0,0,0,19,0,0,0
67fe09cf9694fc7dde083941,"מיונז וקטשופ רוטב בטעם, 515 גרם",1,0,0,0,0,12,0,0,0
67fe09d39694fc7dde083958,"מי סודה, 250 מ0""ל""",1,1,0,0,0,15,0,0,0
67fe09e99694fc7dde0839b9,"תה קר בטעם אפרסק, 330 מ""ל",1,0,0,0,0,4,0,0,0
