productId,name,bias,isFavorite,purchasedBefore,timesPurchased,recentlyPurchased,storeCount,timesWasRejectedByUser,timesWasRejectedByCart,label
67c22aa67269dc095ae8a1cb,"חלב תנובה טרי 3% בקרטון, 1 ליטר",1,1,0,0,0,22,0,0,1
67d426570d447fc5db4307ab,"קורנפלקס של אלופים, 850 גרם",1,0,1,2,0,21,0,0,0
67f2b8e01e4793e3b9ab0761,"ממרח אגוזי לוז עם קקאו, 350 גרם",1,0,0,0,0,23,0,0,0
67fa8096e5dc63283b802960,"חלב מרוכז ממותק, 397 גרם",1,0,1,1,0,15,0,0,1
67fa82eb140c7ae3e3f2c7e5,"טעם הטבע מיקס ארוגולה צבעוני, 300 גרם",1,0,1,2,0,15,0,0,0
67fa82eb140c7ae3e3f2c7e7,"אוראו גולד עוגיות סנדוויץ' בטעם וניל, 154 גרם",1,0,1,1,1,13,0,0,0
67fae67f9185ef5995418b19,"פיינט וניל, 500 מ""ל",1,0,1,1,0,13,0,0,0
67fae6809185ef5995418b1d,"פיינט צ'אנקי מנקי, 500 מ""ל",1,0,1,1,0,12,0,0,0
67fae7df738731a4c1d37ce4,"חלב 3% שקית, 1 ליטר",1,0,1,1,0,11,0,0,1
67fae7ff738731a4c1d37d19,"גלידת פיינט סולטיד קרמל בן גריס, 473 מ""ל",1,0,0,0,0,9,0,0,0
67fcd13ea94f1553e3728a8b,"שקדי מרק, 400 גרם",1,0,1,1,0,23,0,0,0
67fd3d6f3eb9e05c1eb154cc,"קורנפלקס מלא, 500 גרם",1,0,1,1,0,4,0,0,0
67fd3edc3eb9e05c1eb1555d,"קורנפלור, 200 גרם",1,0,1,1,0,11,0,0,0
67fdffc69694fc7dde08268f,"לחמניה מתוקה, שמיניה 8 * 280 גרם",1,0,1,1,0,3,0,0,0
67fe00709694fc7dde0826ac,"לחם קל לעניין מקמח מלא פרוס, 750 גרם",1,0,1,1,0,14,0,0,1
67fe008b9694fc7dde0826d8,"קוטג' בקטנה 5%, 100 גרם",1,0,1,1,0,13,0,0,1
