productId,name,bias,isFavorite,purchasedBefore,timesPurchased,recentlyPurchased,storeCount,timesWasRejectedByUser,timesWasRejectedByCart,label
67fe00709694fc7dde0826b4,"לחם שיפון עגול, 750 גרם",1,0,1,1,0,15,0,0,1
67fe00fc9694fc7dde0827c3,"שמן קנולה מועשר בנוגדי חמצון, 750 מ""ל",1,0,1,14,1,11,0,0,1
67fe01699694fc7dde08285c,"גבינה צפתית מעודנת 5%, 200 גרם",1,0,1,12,0,18,0,0,1
67fe018b9694fc7dde0828c5,"מלח ים דק, 250 גרם",1,0,1,1,0,18,0,0,0
67fe024a9694fc7dde082a17,"פסטה מקרוני 7, 500 גרם",1,0,1,9,0,14,0,0,1
67fe024a9694fc7dde082a1b,"פסטה ספגטי 8, 500 גרם",1,0,1,14,1,22,0,0,1
67fe044c9694fc7dde082d9b,"פיתות כוסמין מלא, שמיניה 8 * 8 יחידות",1,0,0,0,0,10,0,0,0
67fe05bb9694fc7dde08304d,"בירה היינקן לאגר פחית, 500 מ""ל",1,0,1,1,0,17,0,0,0
67fe07a99694fc7dde0833bd,"סויה מיובשת בצורת כנפי עוף, 300 גרם",1,0,1,11,1,7,0,0,0
67fe098a9694fc7dde08381d,"סלמי קוניאק מובחר, 300 גרם",1,0,1,16,0,8,0,0,0
67fe09a09694fc7dde083878,"חלה מעודנת פרוסה, 500 גרם",1,0,1,1,0,3,0,0,0
67fe09be9694fc7dde0838ee,"כורכום כתוש, 70 גרם",1,0,1,15,0,11,0,0,0
67fe09c99694fc7dde08391a,"חרדל דיג'ון גרגירים, 360 גרם",1,0,1,8,0,9,0,0,0
67fe09e39694fc7dde083996,"יין כרמל סלקטד מרלו, 750 מ""ל",1,0,1,15,1,14,0,0,0
67fe0a159694fc7dde083a80,"מברשות שיניים לחניכיים רגישות, 2 יחידות",1,0,1,13,1,13,0,0,0
67fe02429694fc7dde0829fe,"ספגטי מחיטת כוסמין אמר, 400 גרם",1,0,1,12,1,13,0,0,0
680148202b901c913fc820be,"ניילון נצמד, 150 מטר",1,0,1,2,0,8,0,0,0
67fe099a9694fc7dde083853,"ריקוטה 5% מחלבות גד, מחיר לפי משקל",1,0,1,6,0,5,0,0,1
67fe008b9694fc7dde0826e4,"קוטג' 3%, 250 גרם",1,0,1,12,0,22,0,0,1
67fe09439694fc7dde0836f1,"פטרוזיליה, ",1,0,1,6,0,17,0,0,0
