cartKey,productId,productName,quantity,date
680c841a947b60828bc83523,67fe09789694fc7dde0837bc,"פסטרמה בדבש דק דק יחיעם, 120 גרם",2,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe09129694fc7dde083603,"סיר עם מכסה ארוז, 3 יחידות",3,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe07d79694fc7dde083444,"ופל קלאסי בטעם לימון, 200 גרם",2,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fd3d6f3eb9e05c1eb154cc,"קורנפלקס מלא, 500 גרם",2,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe026f9694fc7dde082a70,תפוח אדמה לבן ארוז פרימיום,1,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe094a9694fc7dde08370a,"חזה עוף קפוא עד""ח יחידות 1",1,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe052c9694fc7dde082f7b,"נייר אפייה, 50 יחידות",2,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe022e9694fc7dde0829bc,"אבקת מרק פטריות רכיב, 225 גרם",3,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe05339694fc7dde082f9e,"מגבונים לחים ללא בישום, רביעיה ",3,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe0a119694fc7dde083a6b,"מי פה מנטה עדין, 500 מ""ל",1,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe07d79694fc7dde083452,"פרימיום ופלים קקאו בטעם שוקולד מריר, 200 גרם",1,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe05819694fc7dde083013,"אבקת אפיה, 10 גרם",3,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe01439694fc7dde082820,"פתיתים אפויים כוכבים, 500 גרם",1,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe06cf9694fc7dde083285,"סירופ מייפל אמיתי 100%, 236 מ""ל",3,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe09b79694fc7dde0838c9,"כמון טחון בשקית מימון, 50 גרם",1,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe0f359694fc7dde083b8c,"המבורגר אנגוס קלאסי, זוג 2 * 200 גרם",3,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe04c99694fc7dde082e93,"מילקי טריו בטעם שוקולד וקוקוס, 170 מ""ל",2,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe03889694fc7dde082c13,"שוקולד מריר מעולה, רביעיה 4 * 100 גרם",2,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe0a1b9694fc7dde083a9f,"מברשות שיניים, 2 יחידות",1,2024-01-02T00:00:00.000000Z
680c841a947b60828bc83523,67fe0a119694fc7dde083a69,"מי פה מנטה, 500 מ""ל",1,2024-01-06T00:00:00.000000Z
680c841a947b60828bc83523,67fe7310d12d870b5383bc12,"חצילים, מחיר לפי משקל",3,2024-01-06T00:00:00.000000Z
680c841a947b60828bc83523,67fe0a439694fc7dde083b1b,"פאוץ מזון מלא לגור חתולים עוף, 85 גרם",2,2024-01-06T00:00:00.000000Z
680c841a947b60828bc83523,67fe09a09694fc7dde08386c,"חלה קלה פרוסה, 500 גרם",3,2024-01-06T00:00:00.000000Z
680c841a947b60828bc83523,67fe09849694fc7dde0837f6,"כתף בקר מעושן זוגלובק, מחיר לפי משקל",2,2024-01-06T00:00:00.000000Z
680c841a947b60828bc83523,67fe02f69694fc7dde082b3d,"בייגלה שטוחים עם מלח, 300 גרם",2,2024-01-06T00:00:00.000000Z
680c841a947b60828bc83523,67fe08149694fc7dde08349b,סיגריות מרלבורו טאץ',1,2024-01-06T00:00:00.000000Z
680c841a947b60828bc83523,67fcd13ea94f1553e3728a8f,"שקדי מרק, 400 גרם",2,2024-01-06T00:00:00.000000Z
680c841a947b60828bc83523,67fe07c79694fc7dde083427,"פתיבר בטעם וניל, 470 גרם",1,2024-01-06T00:00:00.000000Z
680c841a947b60828bc83523,6801482e2b901c913fc820f0,"פלפל שחור גרוס, 80 גרם",2,2024-01-06T00:00:00.000000Z
680c841a947b60828bc83523,67fe062f9694fc7dde08315b,"ירקות חמוץ מתוק, 500 גרם",3,2024-01-06T00:00:00.000000Z
680c841a947b60828bc83523,67fe00ee9694fc7dde082775,"שניצל תירס קלאסי בד""צ זוגלובק, 750 גרם",3,2024-01-06T00:00:00.000000Z
680c841a947b60828bc83523,67fe09e29694fc7dde083988,"יין כרמל באז מוסקטו מבעבע, 750 מ""ל",3,2024-01-06T00:00:00.000000Z
680c841a947b60828bc83523,67fe01839694fc7dde08289e,"קטשופ, 700 גרם",1,2024-01-06T00:00:00.000000Z
