cartKey,productId,productName,quantity,date
67fed1e20be9d53c056a2f0a,67fe09fe9694fc7dde083a12,"הדבש שעווה קרה להסרת שיער, 500 גרם",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe024a9694fc7dde082a19,"פסטה ספגטיני 5, 500 גרם",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe00709694fc7dde0826ac,"לחם קל לעניין מקמח מלא פרוס, 750 גרם",2,2025-02-11
67fed1e20be9d53c056a2f0a,67fe06109694fc7dde083107,"תערובת לתיבול שווארמה, 80 גרם",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe04c99694fc7dde082e9b,"מילקי במעדן חלב בטעם תות עם קצפת, 170 מ""ל",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe01439694fc7dde08282e,"פתיתים אפויים קוסקוס, 500 גרם",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe091f9694fc7dde08363b,"פלפל צהוב, מחיר לפי משקל",4,2025-02-11
67fed1e20be9d53c056a2f0a,67fe03679694fc7dde082bba,"תירס גמדי שלם, 230 גרם",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe04ee9694fc7dde082ed5,"סוכריות בטעם תות ותות מנטה, 16 גרם",2,2025-02-11
67fed1e20be9d53c056a2f0a,67fe01729694fc7dde082885,"גבינה צהובה טבעונית פרוסות בטעם קלאסי, 200 גרם",2,2025-02-11
67fed1e20be9d53c056a2f0a,67fe03669694fc7dde082bac,"תירס מהשדה, 246 גרם",2,2025-02-11
67fed1e20be9d53c056a2f0a,67fe036f9694fc7dde082bcf,"קפה טורקי לדרך, שביעיה 7 * 24 גרם",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe09d39694fc7dde083958,"מי סודה, 250 מ""ל",2,2025-02-11
67fed1e20be9d53c056a2f0a,67fe07989694fc7dde08339e,"משקה שקדים, 1 ליטר",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe092b9694fc7dde08367d,"בננות, מחיר לפי משקל",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe09a09694fc7dde083874,"חלה חלומית, 500 גרם",4,2025-02-11
67fed1e20be9d53c056a2f0a,67fe09a09694fc7dde083872,"חלה קלועה, 650 גרם",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe09be9694fc7dde0838ea,"כורכום, 80 גרם",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe06dd9694fc7dde08329e,"טבעי בקבוקים 2, 260 מ""ל",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe02f69694fc7dde082b3f,"בייגלה שמיניות עם מלח, 80 גרם",2,2025-02-11
67fed1e20be9d53c056a2f0a,67fe028b9694fc7dde082aae,"עוגה בטעם שוקולד כשלפ, 450 גרם",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe07c79694fc7dde083425,"פתיבר קוקיז בטעם חמאה, 155 גרם",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe098a9694fc7dde083811,"סלמי מעושן איטלקי זוגלובק, 300 גרם",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe062f9694fc7dde08315d,"ירקות גינה עם טונה, 160 גרם",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe024a9694fc7dde082a23,"פסטה מסולסלים, 500 גרם",1,2025-02-11
67fed1e20be9d53c056a2f0a,67fe06899694fc7dde0831fa,"נוזל הברקה למדיח כלים בניחוח לימון, 800 מ""ל",2,2025-02-11
67fed1e20be9d53c056a2f0a,67fe06c89694fc7dde083260,"סירופ בטעם ענבים דיאט, 1 ליטר",1,2025-02-11
